,Method,correlation,n_samples,prob_data,iteration,V1
391,Permfit-DNN,0.8,300,regression_perm,91,0.189473684210526
392,Permfit-DNN,0.8,300,regression_perm,92,0.231578947368421
393,Permfit-DNN,0.8,300,regression_perm,93,0.315789473684211
394,Permfit-DNN,0.8,300,regression_perm,94,0.305263157894737
395,Permfit-DNN,0.8,300,regression_perm,95,0.221052631578947
396,Permfit-DNN,0.8,300,regression_perm,96,0.221052631578947
397,Permfit-DNN,0.8,300,regression_perm,97,0.231578947368421
398,Permfit-DNN,0.8,300,regression_perm,98,0.315789473684211
399,Permfit-DNN,0.8,300,regression_perm,99,0.168421052631579
400,Permfit-DNN,0.8,300,regression_perm,100,0.231578947368421
401,CPI-DNN,0,300,regression_perm,1,0.052631578947368
402,CPI-DNN,0,300,regression_perm,2,0.031578947368421
403,CPI-DNN,0,300,regression_perm,3,0.031578947368421
404,CPI-DNN,0,300,regression_perm,4,0.042105263157895
405,CPI-DNN,0,300,regression_perm,5,0.031578947368421
406,CPI-DNN,0,300,regression_perm,6,0.031578947368421
407,CPI-DNN,0,300,regression_perm,7,0.042105263157895
408,CPI-DNN,0,300,regression_perm,8,0.021052631578947
409,CPI-DNN,0,300,regression_perm,9,0.052631578947368
410,CPI-DNN,0,300,regression_perm,10,0.031578947368421
411,CPI-DNN,0,300,regression_perm,11,0.052631578947368
412,CPI-DNN,0,300,regression_perm,12,0.010526315789474
413,CPI-DNN,0,300,regression_perm,13,0.031578947368421
414,CPI-DNN,0,300,regression_perm,14,0.042105263157895
415,CPI-DNN,0,300,regression_perm,15,0.052631578947368
416,CPI-DNN,0,300,regression_perm,16,0.052631578947368
417,CPI-DNN,0,300,regression_perm,17,0.021052631578947
418,CPI-DNN,0,300,regression_perm,18,0.052631578947368
419,CPI-DNN,0,300,regression_perm,19,0.031578947368421
420,CPI-DNN,0,300,regression_perm,20,0
421,CPI-DNN,0,300,regression_perm,21,0.063157894736842
422,CPI-DNN,0,300,regression_perm,22,0.021052631578947
423,CPI-DNN,0,300,regression_perm,23,0.042105263157895
424,CPI-DNN,0,300,regression_perm,24,0.021052631578947
425,CPI-DNN,0,300,regression_perm,25,0.063157894736842
426,CPI-DNN,0,300,regression_perm,26,0
427,CPI-DNN,0,300,regression_perm,27,0.042105263157895
428,CPI-DNN,0,300,regression_perm,28,0.021052631578947
